Size,Threads,SerialTime,ParallelTime
5,1,8.328e-06,3.6217e-05
5,2,7.327e-06,0.000165023
5,4,7.043e-06,0.000160279
5,8,6.441e-06,0.0154748
10,1,2.2325e-05,5.8446e-05
10,2,2.1392e-05,0.00011371
10,4,2.1114e-05,0.000489406
10,8,1.946e-05,0.00333085
100,1,0.0018142,0.00201365
100,2,0.00191333,0.00191032
100,4,0.00166483,0.000948791
100,8,0.00210596,0.00273793
500,1,0.0291095,0.0191315
500,2,0.0177679,0.011444
500,4,0.0420932,0.0235883
500,8,0.0520065,0.0247947
1000,1,0.0752927,0.0966314
1000,2,0.0822728,0.0549792
1000,4,0.111473,0.0621111
1000,8,0.148539,0.0744816
5000,1,2.63521,2.41538
5000,2,2.30485,1.52943
5000,4,2.54068,0.82664
5000,8,4.11082,0.954967
10000,1,10.0643,11.8188
10000,2,12.4825,7.39134
10000,4,11.2136,3.15345
10000,8,10.8477,4.12252
