Size,Threads,Sequential,Parallel
5,1,1.1703e-05,1.633e-05
5,2,6.919e-06,0.000234926
5,4,3.437e-06,0.000269713
5,8,3.157e-06,0.000391569
10,1,8.982e-06,1.5697e-05
10,2,8.938e-06,2.2555e-05
10,4,1.0218e-05,0.000433254
10,8,8.919e-06,0.00786844
100,1,0.00664065,0.0112618
100,2,0.00602186,0.00502917
100,4,0.00462612,0.00244368
100,8,0.00620459,0.0025912
500,1,0.149146,0.143582
500,2,0.190989,0.210366
500,4,0.296466,0.146533
500,8,0.150274,0.0779432
1000,1,1.41137,1.71217
1000,2,1.18534,1.37079
1000,4,1.35925,1.08498
1000,8,1.33355,0.765337
